stt,bdate,hocvan,thunhap,luongkd,thoigianlv,kinhnghiem,gioi,gioitinh,nu,chucvu,nhanvien,truongnhom,quanly,bangcap,tuoi,luongthang
319,3/2/1966,15,43410,15750,76,12,m,1,0,1,1,0,0,3,25,3617.5
320,11/10/1936,12,22050,15000,76,385,m,1,0,1,1,0,0,2,55,1837.5
321,10/26/1953,12,22050,12000,76,6,f,0,1,1,1,0,0,2,38,1837.5
322,3/2/1938,12,22500,14250,76,90,f,0,1,1,1,0,0,2,53,1875
323,5/13/1967,15,25500,12000,76,7,f,0,1,1,1,0,0,3,24,2125
324,10/14/1966,12,29160,15000,76,22,f,0,1,1,1,0,0,2,25,2430
325,11/4/1934,8,16800,10200,76,76,f,0,1,1,1,0,0,1,57,1400
326,7/24/1958,8,29550,15750,76,144,m,1,0,2,0,1,0,1,33,2462.5
327,3/2/1965,12,26700,15750,76,18,m,1,0,1,1,0,0,2,26,2225
328,10/25/1952,18,55000,32490,75,125,m,1,0,3,0,0,1,5,39,4583.33333333333
329,8/24/1958,18,62500,34980,75,74,m,1,0,3,0,0,1,5,33,5208.33333333333
330,5/9/1959,15,27300,17250,75,132,m,1,0,1,1,0,0,3,32,2275
331,2/4/1942,12,24450,12000,75,144,f,0,1,1,1,0,0,2,49,2037.5
332,5/10/1964,16,33000,18000,75,26,f,0,1,1,1,0,0,4,27,2750
333,1/26/1965,15,37050,18000,75,5,f,0,1,1,1,0,0,3,26,3087.5
334,5/9/1966,12,24450,10950,75,32,f,0,1,1,1,0,0,2,25,2037.5
335,2/26/1930,8,31950,15750,74,408,m,1,0,2,0,1,0,1,61,2662.5
336,1/10/1964,16,47250,21240,74,45,m,1,0,3,0,0,1,4,27,3937.5
337,1/27/1970,12,26100,11550,74,2,f,0,1,1,1,0,0,2,21,2175
338,8/12/1938,8,15900,10200,74,43,f,0,1,1,1,0,0,1,53,1325
339,11/7/1942,8,23700,10650,74,281,f,0,1,1,1,0,0,1,49,1975
340,5/6/1934,8,21750,12450,74,318,f,0,1,1,1,0,0,1,57,1812.5
341,1/20/1945,12,59400,33750,74,272,m,1,0,3,0,0,1,2,46,4950
342,6/1/1948,12,24450,14250,74,117,f,0,1,1,1,0,0,2,43,2037.5
343,6/9/1953,16,103500,60000,73,150,m,1,0,3,0,0,1,4,38,8625
344,10/13/1963,12,35700,16500,73,72,m,1,0,1,1,0,0,2,28,2975
345,5/5/1969,12,22200,16500,73,7,f,0,1,1,1,0,0,2,22,1850
346,8/16/1968,15,22950,13950,73,22,f,0,1,1,1,0,0,3,23,1912.5
347,8/10/1944,12,23100,12000,73,228,f,0,1,1,1,0,0,2,47,1925
348,6/11/1962,16,56750,30000,73,15,f,0,1,3,0,0,1,4,29,4729.16666666667
349,3/22/1938,17,29100,12750,73,375,f,0,1,1,1,0,0,5,53,2425
350,4/21/1939,12,37650,15750,73,132,f,0,1,1,1,0,0,2,52,3137.5
351,1/27/1966,12,27900,13500,73,32,f,0,1,1,1,0,0,2,25,2325
352,11/26/1933,8,21150,12000,73,159,f,0,1,1,1,0,0,1,58,1762.5
353,3/10/1955,12,31200,15750,73,155,m,1,0,2,0,1,0,2,36,2600
354,5/8/1946,12,20550,11250,73,154,f,0,1,1,1,0,0,2,45,1712.5
355,5/19/1961,15,25950,17250,72,83,m,1,0,1,1,0,0,3,30,2162.5
356,11/10/1965,15,28350,15000,72,48,m,1,0,1,1,0,0,3,26,2362.5
357,1/18/1932,8,17700,10200,72,184,f,0,1,1,1,0,0,1,59,1475
358,4/11/1944,15,23550,13500,72,49,f,0,1,1,1,0,0,3,47,1962.5
359,6/12/1941,12,19950,10200,72,56,f,0,1,1,1,0,0,2,50,1662.5
360,8/11/1968,12,29400,15300,72,30,f,0,1,1,1,0,0,2,23,2450
361,6/9/1966,12,28800,13950,72,18,f,0,1,1,1,0,0,2,25,2400
362,4/8/1937,8,16950,10200,72,319,f,0,1,1,1,0,0,1,54,1412.5
363,6/3/1954,16,35700,18000,72,138,m,1,0,1,1,0,0,4,37,2975
364,3/26/1947,12,17400,10200,72,116,f,0,1,1,1,0,0,2,44,1450
365,10/16/1948,8,21450,10200,72,194,f,0,1,1,1,0,0,1,43,1787.5
366,3/21/1961,12,24750,12000,72,68,f,0,1,1,1,0,0,2,30,2062.5
367,5/22/1942,12,16950,10200,72,271,f,0,1,1,1,0,0,2,49,1412.5
368,7/20/1943,12,26100,13500,72,169,f,0,1,1,1,0,0,2,48,2175
369,11/14/1967,14,28050,15000,71,15,m,1,0,1,1,0,0,3,24,2337.5
370,1/20/1963,16,36600,18000,71,12,f,0,1,1,1,0,0,4,28,3050
371,4/5/1966,16,58125,18000,71,11,f,0,1,3,0,0,1,4,25,4843.75
372,8/22/1935,15,21300,15750,70,372,m,1,0,1,1,0,0,3,56,1775
373,10/29/1949,12,22500,16500,70,216,m,1,0,1,1,0,0,2,42,1875
374,7/26/1967,15,29400,15750,70,15,m,1,0,1,1,0,0,3,24,2450
375,10/8/1966,12,27450,14700,70,41,m,1,0,1,1,0,0,2,25,2287.5
376,10/9/1964,15,29850,15750,70,48,m,1,0,1,1,0,0,3,27,2487.5
377,11/29/1965,15,25350,15750,70,56,m,1,0,1,1,0,0,3,26,2112.5
378,9/21/1930,8,15750,10200,70,275,f,0,1,1,1,0,0,1,61,1312.5
379,5/12/1938,8,19650,13050,70,102,f,0,1,1,1,0,0,1,53,1637.5
380,2/22/1941,12,21000,13500,70,82,f,0,1,1,1,0,0,2,50,1750
381,7/15/1946,17,27000,18000,70,192,m,1,0,1,1,0,0,5,45,2250
382,10/20/1959,12,24000,15750,70,120,m,1,0,1,1,0,0,2,32,2000
383,6/3/1961,17,78500,28740,70,67,m,1,0,3,0,0,1,5,30,6541.66666666667
384,11/11/1955,12,20850,13050,70,127,f,0,1,1,1,0,0,2,36,1737.5
385,10/1/1930,12,30000,15750,69,348,m,1,0,2,0,1,0,2,61,2500
386,8/18/1934,8,28500,15750,69,174,m,1,0,2,0,1,0,1,57,2375
387,2/3/1965,19,65000,31980,69,74,m,1,0,3,0,0,1,5,26,5416.66666666667
388,1/2/1959,14,30150,16500,69,110,m,1,0,1,1,0,0,3,32,2512.5
389,4/15/1959,19,66875,32490,69,81,m,1,0,3,0,0,1,5,32,5572.91666666667
390,11/9/1968,15,24150,13500,69,7,f,0,1,1,1,0,0,3,23,2012.5
391,1/12/1969,12,24450,12450,69,12,f,0,1,1,1,0,0,2,22,2037.5
392,5/12/1970,12,21600,12000,69,0,f,0,1,1,1,0,0,2,21,1800
393,6/24/1969,12,27900,12450,69,0,f,0,1,1,1,0,0,2,22,2325
394,2/4/1970,8,29100,12450,69,17,f,0,1,1,1,0,0,1,21,2425
395,3/9/1970,12,22650,11250,69,2,f,0,1,1,1,0,0,2,21,1887.5
396,8/17/1970,12,20850,11250,69,0,f,0,1,1,1,0,0,2,21,1737.5
397,1/17/1970,12,22950,12300,69,5,f,0,1,1,1,0,0,2,21,1912.5
398,11/21/1970,12,30600,12450,69,5,f,0,1,1,1,0,0,2,21,2550
399,2/6/1970,12,20400,11250,69,0,f,0,1,1,1,0,0,2,21,1700
400,8/6/1969,12,23850,12750,69,20,f,0,1,1,1,0,0,2,22,1987.5
401,3/14/1970,12,22800,11250,69,0,f,0,1,1,1,0,0,2,21,1900
402,2/7/1970,12,20700,11250,69,2,f,0,1,1,1,0,0,2,21,1725
403,4/28/1970,12,21300,11250,69,3,f,0,1,1,1,0,0,2,21,1775
404,5/1/1953,12,24300,15000,69,121,f,0,1,1,1,0,0,2,38,2025
405,7/12/1944,12,19650,13950,69,133,f,0,1,1,1,0,0,2,47,1637.5
406,10/5/1965,17,60000,32490,68,17,m,1,0,3,0,0,1,5,26,5000
407,9/6/1965,15,30300,15750,68,55,m,1,0,1,1,0,0,3,26,2525
408,2/12/1964,19,61250,33000,68,9,m,1,0,3,0,0,1,5,27,5104.16666666667
409,11/21/1962,19,36000,19500,68,21,m,1,0,1,1,0,0,5,29,3000
410,1/9/1942,8,25200,18750,68,344,f,0,1,1,1,0,0,1,49,2100
411,8/21/1931,12,16200,10200,68,180,f,0,1,1,1,0,0,2,60,1350
412,6/16/1970,12,22800,11250,68,2,f,0,1,1,1,0,0,2,21,1900
413,3/13/1966,16,43500,19500,68,11,f,0,1,3,0,0,1,4,25,3625
414,1/8/1961,8,30300,15750,68,155,m,1,0,2,0,1,0,1,30,2525
415,5/2/1963,15,31950,15750,68,70,m,1,0,1,1,0,0,3,28,2662.5
416,1/16/1965,15,35250,13500,67,6,m,1,0,1,1,0,0,3,26,2937.5
417,7/22/1967,15,37800,15000,67,36,m,1,0,1,1,0,0,3,24,3150
418,6/5/1965,15,31200,15750,67,46,m,1,0,1,1,0,0,3,26,2600
419,10/20/1964,15,29400,16500,67,68,m,1,0,1,1,0,0,3,27,2450
420,7/16/1957,19,70000,35040,67,75,m,1,0,3,0,0,1,5,34,5833.33333333333
421,11/1/1961,15,33900,15750,67,96,m,1,0,1,1,0,0,3,30,2825
422,7/20/1963,15,27150,16500,67,78,m,1,0,1,1,0,0,3,28,2262.5
423,4/26/1936,12,22200,13800,67,196,f,0,1,1,1,0,0,2,55,1850
424,7/6/1966,15,31350,11100,67,47,f,0,1,1,1,0,0,3,25,2612.5
425,1/26/1942,12,20850,13500,67,181,f,0,1,1,1,0,0,2,49,1737.5
426,10/27/1952,16,33300,17490,67,120,m,1,0,1,1,0,0,4,39,2775
427,4/21/1942,8,26250,16050,67,97,m,1,0,1,1,0,0,1,49,2187.5
428,2/28/1964,15,31950,15750,67,58,m,1,0,1,1,0,0,3,27,2662.5
429,8/13/1946,8,30000,15750,67,305,m,1,0,2,0,1,0,1,45,2500
430,4/29/1956,19,66250,34980,67,99,m,1,0,3,0,0,1,5,35,5520.83333333333
431,1/15/1959,18,86250,45000,66,50,m,1,0,3,0,0,1,5,32,7187.5
432,3/12/1964,12,30750,15000,66,56,m,1,0,1,1,0,0,2,27,2562.5
433,11/15/1966,12,33540,15750,66,47,m,1,0,1,1,0,0,2,25,2795
434, ,16,34950,20250,66,55,m,1,0,1,1,0,0,4, ,2912.5
435,5/24/1964,15,40350,16500,66,80,m,1,0,1,1,0,0,3,27,3362.5
436,5/27/1965,12,30270,15750,66,80,m,1,0,1,1,0,0,2,26,2522.5
437,9/4/1933,8,26250,16050,66,264,m,1,0,1,1,0,0,1,58,2187.5
438,10/11/1964,15,32400,15000,66,64,m,1,0,1,1,0,0,3,27,2700
439,6/25/1970,12,20400,11250,66,0,f,0,1,1,1,0,0,2,21,1700
440,11/10/1947,8,24150,12750,66,96,f,0,1,1,1,0,0,1,44,2012.5
441,8/2/1949,15,23850,13500,66,122,f,0,1,1,1,0,0,3,42,1987.5
442,9/18/1968,12,29700,13500,66,26,f,0,1,1,1,0,0,2,23,2475
443,2/10/1929,8,21600,13500,66,228,f,0,1,1,1,0,0,1,62,1800
444,9/16/1961,12,24450,15750,66,87,f,0,1,1,1,0,0,2,30,2037.5
445,8/4/1963,15,28050,16500,66,84,m,1,0,1,1,0,0,3,28,2337.5
446,8/3/1958,16,100000,44100,66,128,m,1,0,3,0,0,1,4,33,8333.33333333333
447,7/2/1961,15,49000,20550,66,86,m,1,0,1,1,0,0,3,30,4083.33333333333
448,6/5/1933,12,16350,10200,66,163,f,0,1,1,1,0,0,2,58,1362.5
449,1/2/1966,16,70000,21750,65,19,m,1,0,3,0,0,1,4,25,5833.33333333333
450,7/21/1954,19,55000,34980,65,129,m,1,0,3,0,0,1,5,37,4583.33333333333
451,7/19/1969,15,28500,14250,65,20,m,1,0,1,1,0,0,3,22,2375
452,8/13/1953,12,28800,18000,65,210,m,1,0,1,1,0,0,2,38,2400
453,8/7/1930,15,24450,15750,65,338,m,1,0,1,1,0,0,3,61,2037.5
454,7/28/1965,19,90625,31250,65,18,m,1,0,3,0,0,1,5,26,7552.08333333333
455,1/17/1964,16,43650,19500,65,19,m,1,0,3,0,0,1,4,27,3637.5
456,10/17/1959,19,75000,42510,65,54,m,1,0,3,0,0,1,5,32,6250
457,5/27/1968,15,31650,14250,65,10,m,1,0,1,1,0,0,3,23,2637.5
458,7/6/1965,19,61875,28740,65,26,m,1,0,3,0,0,1,5,26,5156.25
459,2/10/1971,12,21750,11250,65,0,f,0,1,1,1,0,0,2,20,1812.5
460,8/12/1969,12,22500,12750,65,24,f,0,1,1,1,0,0,2,22,1875
461,11/8/1943,8,21600,13500,65,173,f,0,1,1,1,0,0,1,48,1800
462,10/18/1963,16,34410,19500,65,79,f,0,1,3,0,0,1,4,28,2867.5
463,10/15/1934,15,20700,14250,65,241,f,0,1,1,1,0,0,3,57,1725
464,3/20/1962,19,47550,33000,64,27,m,1,0,3,0,0,1,5,29,3962.5
465,7/20/1962,12,33900,16500,64,106,m,1,0,1,1,0,0,2,29,2825
466,6/15/1948,12,23400,13500,64,198,f,0,1,1,1,0,0,2,43,1950
467,8/18/1967,16,32850,19500,64,20,f,0,1,1,1,0,0,4,24,2737.5
468,11/28/1965,16,55750,19980,64,36,f,0,1,3,0,0,1,4,26,4645.83333333333
469,6/1/1964,15,25200,13950,64,57,f,0,1,1,1,0,0,3,27,2100
470,1/22/1964,12,26250,15750,64,69,m,1,0,1,1,0,0,2,27,2187.5
471,8/3/1966,15,26400,15750,64,32,m,1,0,1,1,0,0,3,25,2200
472,2/21/1966,15,39150,15750,63,46,m,1,0,1,1,0,0,3,25,3262.5
473,11/25/1937,12,21450,12750,63,139,f,0,1,1,1,0,0,2,54,1787.5
474,11/5/1968,12,29400,14250,63,9,f,0,1,1,1,0,0,2,23,2450
